CODIGO_POSTAL,MUNICIPIO_ID,MUNICIPIO_NOMBRE
00043,43110,"Pobla de Massaluca, La"
00085,49064,Fariza
00633,26005,Albelda de Iregua
01001,01059,Vitoria-Gasteiz
01002,01059,Vitoria-Gasteiz
01003,01059,Vitoria-Gasteiz
01004,01059,Vitoria-Gasteiz
01005,01059,Vitoria-Gasteiz
01006,01059,Vitoria-Gasteiz
